Publication Title,start date,end date,coverage notes,publication type
4 of November The Peace of France,1622-11-04,1622-11-04,"Pamphlet; London, England",
Account from the Kings Camp before the Castle of Namur (Namur),1695-08-18,1695-08-18,"Broadside; London, England",serial
Account of the Land-Bank,1695-08-01,1695-08-31,"Broadside; London, England",serial
Account of the Passage of the Rhine,1744-01-01,1744-12-31,"Pamphlet; London, England",
Account of the Publick Transactions in Christendom,1694-08-11,1694-08-11,"Newspaper; London, England",serial
Account of What Pass'd in the Engagement Near Toulon,1744-03-21,1744-03-21,"Pamphlet; London, England",
Account Received from Vice-Admiral Townshend,1745-12-01,1745-12-01,"Broadside; London, England",serial
Act for Reducing the Several Annuities,1749-11-01,1749-11-01,"Pamphlet; London, England",
Act to Inflict Pains and Penalties on Francis Lord Bishop of Rochester,1722-10-09,1722-10-09,"Pamphlet; London, England",
Act to Inflict Pains and Penalties on George Kelly Alias Johnson,1722-10-09,1722-10-09,"Pamphlet; London, England",
Act to Inflict Pains and Penalties on John Plunket,1722-10-09,1722-10-09,"Pamphlet; London, England",
Acts of the Diet of Regenspurgh Held in the Yeeres 1622 and 1623,1623-01-01,1623-12-31,"Pamphlet; London, England",
Adams's Weekly Courant,1770-04-10,1782-01-22,"Newspaper; Chester, England",serial
Address to the Army,1746-01-30,1746-01-30,"Broadside; Edinburgh, Scotland",serial
Adventurer (Cumulation),1752-11-07,1754-03-09,"Serial; London, England",serial
Advice from Parnassus,1681-01-26,1681-02-18,"Newspaper; London, England",serial
Advice to the Livery Men of London,1692-09-29,1692-09-29,"Broadside; London, England",serial
Advocate (1725),1725-02-17,1725-02-17,"Serial; London, England",serial
Albion and Evening Advertiser,1800-05-26,1800-12-27,"Newspaper; London, England",serial
All Alive and Merry or the London Daily Post,1740-04-17,1743-04-20,"Newspaper; London, England",serial
Amsterdam avec Privilege de nos Seigneurs les Etats de Hollande et de West Frise,1705-05-26,1751-07-06,"Newspaper; Amsterdam, Netherlands",serial
Amsterdamse Courant,1713-01-15,1713-01-15,"Newspaper; Amsterdam, Netherlands",serial
Answer to Mercurius Aulicus,1643-12-09,1643-12-09,"Pamphlet; London, England",
Answere to the Question Whether the Emperour That Now Is Can Be Judge,1620-01-01,1620-12-31,"Pamphlet; London, England",
Anti-Aulicus,1644-02-08,1644-02-08,"Newsbook; London, England",serial
Anti-Jacobin or Weekly Examiner,1797-11-20,1798-07-09,"Serial; London, England",serial
Appendix to Mercurius Reformatus or the New Observator,1691-11-07,1692-12-31,"Pamphlet; London, England",serial
Applebee's Original Weekly Journal,1720-07-16,1736-03-13,"Newspaper; London, England",serial
Argus,1789-04-11,1791-11-15,"Newspaper; London, England",serial
Argus of the Constitution,1792-02-28,1792-03-17,"Newspaper; London, England",serial
At a General Meeting of the Vice-Chancellor,1728-11-28,1728-11-28,"Broadside; Oxford, England",serial
At the Court at Leicester House the 14th Day of June 1727,1727-06-14,1727-06-14,"Broadside; London, England",serial
At the Court at St. James's the 29th Day of April 1736,1736-04-29,1736-04-29,"Broadside; London, England",serial
Athenian Gazette or Casuistical Mercury,1691-08-29,1696-02-08,"Serial; London, England",serial
Athenian Mercury,1697-05-14,1697-06-14,"Serial; London, England",serial
Athenian News or Dunton's Oracle,1710-03-04,1710-06-03,"Serial; London, England",serial
August 30 A Continued Journall of All the Proceedings of the Duke of Buckingham,1627-08-30,1627-08-30,"Pamphlet; London, England",
Aulicus His Hue and Cry Sent Forth After Britanicus,1645-01-01,1645-12-31,"Pamphlet; London, England",
Aurora and Universal Advertiser,1781-02-12,1781-03-03,"Newspaper; London, England",serial
Authentic List of Members of House of Commons,1784-01-20,1784-01-20,"Broadside; London, England",serial
Authentic List of the Names of All the Officers Kill'd Wounded and Missing at the Battle of Tournay,1745-01-01,1745-12-31,"Pamphlet; London, England",
Authoritie of the Church in Making Canons and Constitutions,1607-04-09,1749-11-01,"Monograph; London, England",monograph
Ayre's Sunday Gazette,1797-06-25,1797-06-25,"Newspaper; London, England",serial
Ayre's Sunday London Gazette,1791-08-14,1795-03-22,"Newspaper; London, England",serial
Ayre's Sunday London GazetteAnd Weekly Monitor,1783-04-27,1786-12-31,"Newspaper; London, England",serial
Baldwin's London Weekly Journal,1769-01-06,1797-10-07,"Newspaper; London, England",serial
Banks's Current Intelligence,1680-03-13,1680-03-27,"Newspaper; London, England",serial
